# ina219-sample started=2026-07-29T12:46:56+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=5.0 n_expected=50
# note=label=smoke fw=9e2e325
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3256,660,6.600,1,0
100,3256,660,6.600,1,0
200,3256,680,6.800,1,0
300,3256,690,6.900,1,0
400,3256,670,6.700,1,0
500,3256,620,6.200,1,0
600,3256,660,6.600,1,0
700,3252,670,6.700,1,0
800,3252,680,6.800,1,0
900,3252,630,6.300,1,0
1000,3252,650,6.500,1,0
1100,3256,670,6.700,1,0
1200,3252,650,6.500,1,0
1300,3252,680,6.800,1,0
1400,3252,670,6.700,1,0
1500,3256,670,6.700,1,0
1600,3256,660,6.600,1,0
1700,3256,660,6.600,1,0
1800,3256,660,6.600,1,0
1900,3252,680,6.800,1,0
2000,3256,670,6.700,1,0
2100,3256,680,6.800,1,0
2200,3256,670,6.700,1,0
2300,3252,640,6.400,1,0
2400,3256,680,6.800,1,0
2500,3256,670,6.700,1,0
2600,3256,670,6.700,1,0
2700,3256,670,6.700,1,0
2800,3256,670,6.700,1,0
2900,3256,640,6.400,1,0
3000,3256,670,6.700,1,0
3100,3256,650,6.500,1,0
3200,3256,680,6.800,1,0
3300,3256,670,6.700,1,0
3400,3256,670,6.700,1,0
3500,3256,670,6.700,1,0
3600,3256,660,6.600,1,0
3700,3256,680,6.800,1,0
3800,3256,670,6.700,1,0
3900,3256,660,6.600,1,0
4000,3252,670,6.700,1,0
4100,3252,670,6.700,1,0
4200,3256,670,6.700,1,0
4300,3252,660,6.600,1,0
4400,3252,680,6.800,1,0
4500,3256,670,6.700,1,0
4600,3256,680,6.800,1,0
4700,3256,670,6.700,1,0
4800,3256,680,6.800,1,0
4900,3252,670,6.700,1,0
5000,3256,660,6.600,1,0
# summary n=51 mean=6.665mA sd=0.133mA min=6.200mA p50=6.700mA p95=6.800mA max=6.900mA
