# ina219-sample started=2026-07-29T12:52:51+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=180.0 n_expected=1800
# note=label=long-diagnose fw=9e2e325
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3252,720,7.200,1,0
100,3252,730,7.300,1,0
200,3252,710,7.100,1,0
300,3252,670,6.700,1,0
400,3252,690,6.900,1,0
500,3248,720,7.200,1,0
600,3248,710,7.100,1,0
700,3248,690,6.900,1,0
800,3252,700,7.000,1,0
900,3252,720,7.200,1,0
1000,3252,690,6.900,1,0
1100,3252,720,7.200,1,0
1200,3256,690,6.900,1,0
1300,3252,700,7.000,1,0
1400,3252,740,7.400,1,0
1500,3256,740,7.400,1,0
1600,3252,700,7.000,1,0
1700,3252,720,7.200,1,0
1800,3252,700,7.000,1,0
1900,3252,700,7.000,1,0
2000,3252,720,7.200,1,0
2100,3252,720,7.200,1,0
2200,3248,690,6.900,1,0
2300,3248,740,7.400,1,0
2400,3252,700,7.000,1,0
2500,3252,700,7.000,1,0
2600,3252,730,7.300,1,0
2700,3252,700,7.000,1,0
2800,3252,680,6.800,1,0
2900,3252,710,7.100,1,0
3000,3252,710,7.100,1,0
3100,3252,700,7.000,1,0
3200,3252,710,7.100,1,0
3300,3252,690,6.900,1,0
3400,3252,730,7.300,1,0
3500,3248,730,7.300,1,0
3600,3252,680,6.800,1,0
3700,3252,700,7.000,1,0
3800,3248,720,7.200,1,0
3900,3252,730,7.300,1,0
4000,3248,700,7.000,1,0
4100,3248,720,7.200,1,0
4200,3252,690,6.900,1,0
4300,3248,710,7.100,1,0
4400,3252,710,7.100,1,0
4500,3252,710,7.100,1,0
4600,3248,700,7.000,1,0
4700,3252,720,7.200,1,0
4800,3248,690,6.900,1,0
4900,3248,700,7.000,1,0
5000,3252,730,7.300,1,0
5100,3252,700,7.000,1,0
5200,3248,700,7.000,1,0
5300,3248,740,7.400,1,0
5400,3248,720,7.200,1,0
5500,3248,700,7.000,1,0
5600,3252,700,7.000,1,0
5700,3252,700,7.000,1,0
5800,3252,730,7.300,1,0
5900,3248,700,7.000,1,0
6000,3252,710,7.100,1,0
6100,3252,680,6.800,1,0
6200,3252,720,7.200,1,0
6300,3252,700,7.000,1,0
6400,3252,700,7.000,1,0
6500,3252,710,7.100,1,0
6600,3252,700,7.000,1,0
6700,3252,710,7.100,1,0
6800,3248,700,7.000,1,0
6900,3248,720,7.200,1,0
7000,3248,700,7.000,1,0
7100,3248,710,7.100,1,0
7200,3244,690,6.900,1,0
7300,3244,730,7.300,1,0
7400,3248,700,7.000,1,0
7500,3252,740,7.400,1,0
7600,3248,710,7.100,1,0
7700,3248,700,7.000,1,0
7800,3252,710,7.100,1,0
7900,3252,700,7.000,1,0
8000,3256,720,7.200,1,0
8100,3252,700,7.000,1,0
8200,3252,700,7.000,1,0
8300,3252,730,7.300,1,0
8400,3248,690,6.900,1,0
8500,3252,670,6.700,1,0
8600,3252,720,7.200,1,0
8700,3248,700,7.000,1,0
8800,3252,700,7.000,1,0
8900,3248,730,7.300,1,0
9000,3248,730,7.300,1,0
9100,3252,720,7.200,1,0
9200,3248,720,7.200,1,0
9300,3252,720,7.200,1,0
9400,3248,690,6.900,1,0
9500,3248,710,7.100,1,0
9600,3252,720,7.200,1,0
9700,3252,720,7.200,1,0
9800,3252,710,7.100,1,0
9900,3252,720,7.200,1,0
10000,3252,700,7.000,1,0
10100,3252,730,7.300,1,0
10200,3252,730,7.300,1,0
10300,3252,690,6.900,1,0
10400,3248,730,7.300,1,0
10500,3248,730,7.300,1,0
10600,3248,700,7.000,1,0
10700,3248,720,7.200,1,0
10800,3248,710,7.100,1,0
10900,3248,700,7.000,1,0
11000,3252,710,7.100,1,0
11100,3252,700,7.000,1,0
11200,3248,730,7.300,1,0
11300,3248,720,7.200,1,0
11400,3248,720,7.200,1,0
11500,3252,720,7.200,1,0
11600,3252,700,7.000,1,0
11700,3252,700,7.000,1,0
11800,3252,700,7.000,1,0
11900,3252,720,7.200,1,0
12000,3252,680,6.800,1,0
12100,3248,710,7.100,1,0
12200,3248,720,7.200,1,0
12300,3248,710,7.100,1,0
12400,3248,720,7.200,1,0
12500,3244,710,7.100,1,0
12600,3252,710,7.100,1,0
12700,3248,690,6.900,1,0
12800,3248,700,7.000,1,0
12900,3248,720,7.200,1,0
13000,3252,690,6.900,1,0
13100,3248,720,7.200,1,0
13200,3248,710,7.100,1,0
13300,3252,700,7.000,1,0
13400,3252,740,7.400,1,0
13500,3252,730,7.300,1,0
13600,3252,710,7.100,1,0
13700,3252,730,7.300,1,0
13800,3248,680,6.800,1,0
13900,3252,700,7.000,1,0
14000,3252,710,7.100,1,0
14100,3248,710,7.100,1,0
14200,3248,720,7.200,1,0
14300,3252,750,7.500,1,0
14400,3248,710,7.100,1,0
14500,3248,710,7.100,1,0
14600,3248,720,7.200,1,0
14700,3252,720,7.200,1,0
14800,3252,720,7.200,1,0
14900,3248,700,7.000,1,0
15000,3252,720,7.200,1,0
15100,3252,720,7.200,1,0
15200,3252,720,7.200,1,0
15300,3248,710,7.100,1,0
15400,3252,730,7.300,1,0
15500,3252,720,7.200,1,0
15600,3256,700,7.000,1,0
15700,3248,720,7.200,1,0
15800,3248,720,7.200,1,0
15900,3252,710,7.100,1,0
16000,3252,700,7.000,1,0
16100,3248,720,7.200,1,0
16200,3248,700,7.000,1,0
16300,3248,670,6.700,1,0
16400,3248,720,7.200,1,0
16500,3248,690,6.900,1,0
16600,3248,710,7.100,1,0
16700,3248,700,7.000,1,0
16800,3252,710,7.100,1,0
16900,3252,740,7.400,1,0
17000,3252,720,7.200,1,0
17100,3252,720,7.200,1,0
17200,3252,700,7.000,1,0
17300,3252,730,7.300,1,0
17400,3252,720,7.200,1,0
17500,3252,720,7.200,1,0
17600,3248,720,7.200,1,0
17700,3252,730,7.300,1,0
17800,3252,740,7.400,1,0
17900,3248,720,7.200,1,0
18000,3248,690,6.900,1,0
18100,3248,730,7.300,1,0
18200,3248,700,7.000,1,0
18300,3248,730,7.300,1,0
18400,3248,680,6.800,1,0
18500,3248,730,7.300,1,0
18600,3248,690,6.900,1,0
18700,3252,700,7.000,1,0
18800,3252,700,7.000,1,0
18900,3252,720,7.200,1,0
19000,3252,700,7.000,1,0
19100,3252,720,7.200,1,0
19200,3252,710,7.100,1,0
19300,3252,720,7.200,1,0
19400,3248,730,7.300,1,0
19500,3252,690,6.900,1,0
19600,3248,690,6.900,1,0
19700,3252,730,7.300,1,0
19800,3248,690,6.900,1,0
19900,3252,680,6.800,1,0
20000,3248,720,7.200,1,0
20100,3248,690,6.900,1,0
20200,3244,730,7.300,1,0
20300,3252,720,7.200,1,0
20400,3252,730,7.300,1,0
20500,3248,720,7.200,1,0
20600,3252,720,7.200,1,0
20700,3256,710,7.100,1,0
20800,3252,700,7.000,1,0
20900,3252,710,7.100,1,0
21000,3256,700,7.000,1,0
21100,3252,720,7.200,1,0
21200,3252,720,7.200,1,0
21300,3252,720,7.200,1,0
21400,3252,690,6.900,1,0
21500,3248,720,7.200,1,0
21600,3248,720,7.200,1,0
21700,3244,700,7.000,1,0
21800,3248,720,7.200,1,0
21900,3248,720,7.200,1,0
22000,3248,710,7.100,1,0
22100,3248,720,7.200,1,0
22200,3248,690,6.900,1,0
22300,3252,700,7.000,1,0
22400,3248,740,7.400,1,0
22500,3252,700,7.000,1,0
22600,3252,720,7.200,1,0
22700,3256,730,7.300,1,0
22800,3252,730,7.300,1,0
22900,3252,700,7.000,1,0
23000,3252,690,6.900,1,0
23100,3252,730,7.300,1,0
23200,3252,700,7.000,1,0
23300,3252,730,7.300,1,0
23400,3252,660,6.600,1,0
23500,3248,710,7.100,1,0
23600,3244,700,7.000,1,0
23700,3248,690,6.900,1,0
23800,3252,740,7.400,1,0
23900,3248,720,7.200,1,0
24000,3248,700,7.000,1,0
24100,3252,720,7.200,1,0
24200,3248,720,7.200,1,0
24300,3248,680,6.800,1,0
24400,3252,730,7.300,1,0
24500,3248,720,7.200,1,0
24600,3252,710,7.100,1,0
24700,3252,690,6.900,1,0
24800,3252,690,6.900,1,0
24900,3252,720,7.200,1,0
25000,3252,730,7.300,1,0
25100,3252,710,7.100,1,0
25200,3252,700,7.000,1,0
25300,3248,700,7.000,1,0
25400,3248,710,7.100,1,0
25500,3248,700,7.000,1,0
25600,3248,710,7.100,1,0
25700,3252,700,7.000,1,0
25800,3252,700,7.000,1,0
25900,3248,730,7.300,1,0
26000,3248,710,7.100,1,0
26100,3252,720,7.200,1,0
26200,3252,700,7.000,1,0
26300,3252,740,7.400,1,0
26400,3252,710,7.100,1,0
26500,3252,720,7.200,1,0
26600,3252,700,7.000,1,0
26700,3252,720,7.200,1,0
26800,3252,690,6.900,1,0
26900,3252,720,7.200,1,0
27000,3248,700,7.000,1,0
27100,3248,720,7.200,1,0
27200,3248,700,7.000,1,0
27300,3248,720,7.200,1,0
27400,3248,700,7.000,1,0
27500,3248,690,6.900,1,0
27600,3248,700,7.000,1,0
27700,3248,700,7.000,1,0
27800,3248,730,7.300,1,0
27900,3252,710,7.100,1,0
28000,3252,700,7.000,1,0
28100,3252,700,7.000,1,0
28200,3252,710,7.100,1,0
28300,3252,720,7.200,1,0
28400,3252,730,7.300,1,0
28500,3252,680,6.800,1,0
28600,3252,710,7.100,1,0
28700,3252,710,7.100,1,0
28800,3252,700,7.000,1,0
28900,3248,700,7.000,1,0
29000,3248,700,7.000,1,0
29100,3248,710,7.100,1,0
29200,3248,700,7.000,1,0
29300,3248,720,7.200,1,0
29400,3252,730,7.300,1,0
29500,3248,710,7.100,1,0
29600,3248,710,7.100,1,0
29700,3252,690,6.900,1,0
29800,3252,700,7.000,1,0
29900,3248,730,7.300,1,0
30000,3256,720,7.200,1,0
30100,3256,700,7.000,1,0
30200,3252,720,7.200,1,0
30300,3252,700,7.000,1,0
30400,3252,720,7.200,1,0
30500,3248,720,7.200,1,0
30600,3252,710,7.100,1,0
30700,3248,720,7.200,1,0
30800,3244,720,7.200,1,0
30900,3248,720,7.200,1,0
31000,3244,680,6.800,1,0
31100,3252,690,6.900,1,0
31200,3248,690,6.900,1,0
31300,3248,710,7.100,1,0
31400,3248,730,7.300,1,0
31500,3252,730,7.300,1,0
31600,3252,700,7.000,1,0
31700,3248,720,7.200,1,0
31800,3252,710,7.100,1,0
31900,3252,700,7.000,1,0
32000,3248,690,6.900,1,0
32100,3256,710,7.100,1,0
32200,3252,710,7.100,1,0
32300,3252,720,7.200,1,0
32400,3248,720,7.200,1,0
32500,3248,700,7.000,1,0
32600,3252,700,7.000,1,0
32700,3248,730,7.300,1,0
32800,3248,730,7.300,1,0
32900,3248,720,7.200,1,0
33000,3248,720,7.200,1,0
33100,3248,690,6.900,1,0
33200,3248,730,7.300,1,0
33300,3252,730,7.300,1,0
33400,3252,720,7.200,1,0
33500,3252,680,6.800,1,0
33600,3252,670,6.700,1,0
33700,3252,680,6.800,1,0
33800,3248,720,7.200,1,0
33900,3252,700,7.000,1,0
34000,3252,720,7.200,1,0
34100,3248,710,7.100,1,0
34200,3252,700,7.000,1,0
34300,3248,730,7.300,1,0
34400,3248,710,7.100,1,0
34500,3248,710,7.100,1,0
34600,3248,700,7.000,1,0
34700,3248,740,7.400,1,0
34800,3248,720,7.200,1,0
34900,3248,690,6.900,1,0
35000,3248,700,7.000,1,0
35100,3252,690,6.900,1,0
35200,3252,720,7.200,1,0
35300,3248,730,7.300,1,0
35400,3252,700,7.000,1,0
35500,3252,690,6.900,1,0
35600,3252,720,7.200,1,0
35700,3252,700,7.000,1,0
35800,3252,690,6.900,1,0
35900,3248,750,7.500,1,0
36000,3252,700,7.000,1,0
36100,3248,700,7.000,1,0
36200,3248,730,7.300,1,0
36300,3248,710,7.100,1,0
