# ina219-sample started=2026-07-29T13:03:20+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=180.0 n_expected=1800
# note=label=post-fresh-join fw=9e2e325+dirty
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3184,1840,18.400,1,0
100,3184,1830,18.300,1,0
200,3184,1830,18.300,1,0
300,3180,1830,18.300,1,0
400,3180,1830,18.300,1,0
500,3180,1800,18.000,1,0
600,3184,1800,18.000,1,0
700,3184,1830,18.300,1,0
800,3180,1830,18.300,1,0
900,3184,1810,18.100,1,0
1000,3180,1800,18.000,1,0
1100,3184,1820,18.200,1,0
1200,3188,1810,18.100,1,0
1300,3188,1800,18.000,1,0
1400,3184,1810,18.100,1,0
1500,3184,1820,18.200,1,0
1600,3184,1830,18.300,1,0
1700,3184,1820,18.200,1,0
1800,3184,1830,18.300,1,0
1900,3184,1800,18.000,1,0
2000,3184,1810,18.100,1,0
2100,3184,1810,18.100,1,0
2200,3184,1810,18.100,1,0
2300,3184,1820,18.200,1,0
2400,3184,1790,17.900,1,0
2500,3180,1820,18.200,1,0
2600,3184,1820,18.200,1,0
2700,3180,1810,18.100,1,0
2800,3180,1820,18.200,1,0
2900,3180,1820,18.200,1,0
3000,3180,1810,18.100,1,0
3100,3180,1810,18.100,1,0
3200,3180,1830,18.300,1,0
3300,3180,1800,18.000,1,0
3400,3180,1810,18.100,1,0
3500,3180,1840,18.400,1,0
3600,3160,1820,18.200,1,0
3700,3160,1810,18.100,1,0
3800,3160,1800,18.000,1,0
3900,3160,1810,18.100,1,0
4000,3164,1800,18.000,1,0
4100,3156,1810,18.100,1,0
4200,3156,1820,18.200,1,0
4300,3160,1810,18.100,1,0
4400,3156,1810,18.100,1,0
4500,3152,1820,18.200,1,0
4600,3296,350,3.500,1,0
4700,3176,1820,18.200,1,0
4800,3176,1820,18.200,1,0
4900,3176,1820,18.200,1,0
5000,3180,1810,18.100,1,0
5100,3176,1810,18.100,1,0
5200,3176,1840,18.400,1,0
5300,3176,1810,18.100,1,0
5400,3176,1830,18.300,1,0
5500,3180,1830,18.300,1,0
5600,3176,1820,18.200,1,0
5700,3176,1810,18.100,1,0
5800,3180,1810,18.100,1,0
5900,3180,1810,18.100,1,0
6000,3180,1830,18.300,1,0
6100,3180,1800,18.000,1,0
6200,3176,1810,18.100,1,0
6300,3176,1790,17.900,1,0
6400,3180,1820,18.200,1,0
6500,3176,1800,18.000,1,0
6600,3176,1790,17.900,1,0
6700,3172,1790,17.900,1,0
6800,3172,1800,18.000,1,0
6900,3172,1810,18.100,1,0
7000,3172,1800,18.000,1,0
7100,3176,1800,18.000,1,0
7200,3176,1790,17.900,1,0
7300,3172,1800,18.000,1,0
7400,3172,1790,17.900,1,0
7500,3168,1770,17.700,1,0
7600,3172,1790,17.900,1,0
7700,3172,1800,18.000,1,0
7800,3168,1800,18.000,1,0
7900,3172,1810,18.100,1,0
8000,3168,1820,18.200,1,0
8100,3168,1810,18.100,1,0
8200,3168,1820,18.200,1,0
8300,3164,1770,17.700,1,0
8400,3164,1820,18.200,1,0
8500,3168,1810,18.100,1,0
8600,3164,1810,18.100,1,0
8700,3172,1800,18.000,1,0
