# ina219-sample started=2026-07-29T17:53:11+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=10.0 n_expected=100
# note=label=sanity fw=4c5326a
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3292,650,6.500,1,0
100,3292,620,6.200,1,0
200,3292,610,6.100,1,0
300,3292,610,6.100,1,0
400,3292,660,6.600,1,0
500,3296,630,6.300,1,0
600,3292,660,6.600,1,0
700,3292,640,6.400,1,0
800,3292,650,6.500,1,0
900,3292,630,6.300,1,0
1000,3292,640,6.400,1,0
1100,3292,660,6.600,1,0
1200,3292,650,6.500,1,0
1300,3292,640,6.400,1,0
1400,3292,620,6.200,1,0
1500,3296,620,6.200,1,0
1600,3292,670,6.700,1,0
1700,3292,630,6.300,1,0
1800,3296,630,6.300,1,0
1900,3292,660,6.600,1,0
2000,3288,640,6.400,1,0
2100,3292,610,6.100,1,0
2200,3296,630,6.300,1,0
2300,3292,660,6.600,1,0
2400,3288,640,6.400,1,0
2500,3292,650,6.500,1,0
2600,3292,630,6.300,1,0
2700,3292,620,6.200,1,0
2800,3292,650,6.500,1,0
2900,3292,610,6.100,1,0
3000,3288,620,6.200,1,0
3100,3292,630,6.300,1,0
3200,3296,630,6.300,1,0
3300,3292,630,6.300,1,0
3400,3292,630,6.300,1,0
3500,3296,620,6.200,1,0
3600,3288,640,6.400,1,0
3700,3292,640,6.400,1,0
3800,3292,610,6.100,1,0
3900,3292,630,6.300,1,0
4000,3292,660,6.600,1,0
4100,3292,650,6.500,1,0
4200,3292,650,6.500,1,0
4300,3292,630,6.300,1,0
4400,3292,630,6.300,1,0
4500,3296,610,6.100,1,0
4600,3292,620,6.200,1,0
4700,3292,620,6.200,1,0
4800,3296,660,6.600,1,0
4900,3292,640,6.400,1,0
5000,3292,650,6.500,1,0
5100,3296,630,6.300,1,0
5200,3296,610,6.100,1,0
5300,3296,620,6.200,1,0
5400,3292,640,6.400,1,0
5500,3292,630,6.300,1,0
5600,3292,630,6.300,1,0
5700,3292,640,6.400,1,0
5800,3292,630,6.300,1,0
5900,3292,630,6.300,1,0
6000,3292,640,6.400,1,0
6100,3292,630,6.300,1,0
6200,3292,620,6.200,1,0
6300,3296,620,6.200,1,0
6400,3292,630,6.300,1,0
6500,3292,610,6.100,1,0
6600,3292,620,6.200,1,0
6700,3292,630,6.300,1,0
6800,3292,640,6.400,1,0
6900,3296,630,6.300,1,0
7000,3296,650,6.500,1,0
7100,3296,630,6.300,1,0
7200,3292,650,6.500,1,0
7300,3292,630,6.300,1,0
7400,3292,640,6.400,1,0
7500,3292,620,6.200,1,0
7600,3292,650,6.500,1,0
7700,3292,650,6.500,1,0
7800,3292,630,6.300,1,0
7900,3292,630,6.300,1,0
8000,3292,640,6.400,1,0
8100,3292,660,6.600,1,0
8200,3292,620,6.200,1,0
8300,3292,640,6.400,1,0
8400,3296,600,6.000,1,0
8500,3292,650,6.500,1,0
8600,3292,660,6.600,1,0
8700,3292,650,6.500,1,0
8800,3292,670,6.700,1,0
8900,3292,630,6.300,1,0
9000,3292,630,6.300,1,0
9100,3292,640,6.400,1,0
9200,3288,640,6.400,1,0
9300,3296,630,6.300,1,0
9400,3288,610,6.100,1,0
9500,3296,640,6.400,1,0
9600,3292,640,6.400,1,0
9700,3292,630,6.300,1,0
9800,3292,640,6.400,1,0
9900,3292,650,6.500,1,0
10000,3292,650,6.500,1,0
# summary n=101 mean=6.351mA sd=0.151mA min=6.000mA p50=6.300mA p95=6.600mA max=6.700mA
