# ina219-sample started=2026-07-29T18:14:56+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=60.0 n_expected=600
# note=label=post-rst-pulse fw=4c5326a
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3148,1790,17.900,1,0
100,3136,1780,17.800,1,0
200,3160,1820,18.200,1,0
300,3140,1810,18.100,1,0
400,3160,1800,18.000,1,0
500,3148,1790,17.900,1,0
600,3160,1820,18.200,1,0
700,3152,1800,18.000,1,0
800,3140,1810,18.100,1,0
900,3160,1790,17.900,1,0
1000,3144,1790,17.900,1,0
1100,3164,1810,18.100,1,0
1200,3144,1800,18.000,1,0
1300,3160,1790,17.900,1,0
1400,3156,1770,17.700,1,0
1500,3140,1790,17.900,1,0
1600,3264,160,1.600,1,0
1700,3136,1800,18.000,1,0
1800,3164,1810,18.100,1,0
1900,3144,1810,18.100,1,0
2000,3160,1800,18.000,1,0
2100,3260,170,1.700,1,0
2200,3140,1780,17.800,1,0
2300,3160,1790,17.900,1,0
2400,3140,1780,17.800,1,0
2500,3164,1790,17.900,1,0
2600,3148,1770,17.700,1,0
2700,3160,1820,18.200,1,0
2800,3156,1810,18.100,1,0
2900,3140,1830,18.300,1,0
3000,3160,1810,18.100,1,0
3100,3140,1790,17.900,1,0
3200,3160,1800,18.000,1,0
3300,3148,1800,18.000,1,0
3400,3164,1780,17.800,1,0
3500,3160,1800,18.000,1,0
3600,3144,1830,18.300,1,0
3700,3164,1810,18.100,1,0
3800,3144,1810,18.100,1,0
3900,3160,1790,17.900,1,0
4000,3152,1790,17.900,1,0
4100,3164,1810,18.100,1,0
4200,3164,1790,17.900,1,0
4300,3140,1800,18.000,1,0
4400,3164,1800,18.000,1,0
4500,3152,1800,18.000,1,0
4600,3144,1790,17.900,1,0
4700,3144,1790,17.900,1,0
4800,3152,1790,17.900,1,0
4900,3128,1800,18.000,1,0
5000,3160,1790,17.900,1,0
5100,3128,1810,18.100,1,0
5200,3152,1830,18.300,1,0
