# ina219-sample started=2026-07-29T18:17:17+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=60.0 n_expected=600
# note=label=post-clean-rst fw=4c5326a
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3096,1780,17.800,1,0
100,3080,1790,17.900,1,0
200,3084,1770,17.700,1,0
300,3096,1820,18.200,1,0
400,3100,1820,18.200,1,0
500,3084,1790,17.900,1,0
600,3100,1800,18.000,1,0
700,3104,1780,17.800,1,0
800,3084,1820,18.200,1,0
900,3100,1810,18.100,1,0
1000,3100,1790,17.900,1,0
1100,3084,1760,17.600,1,0
1200,3100,1800,18.000,1,0
1300,3100,1780,17.800,1,0
1400,3084,1820,18.200,1,0
1500,3100,1790,17.900,1,0
1600,3100,1770,17.700,1,0
1700,3084,1780,17.800,1,0
1800,3096,1800,18.000,1,0
1900,3100,1790,17.900,1,0
2000,3084,1810,18.100,1,0
2100,3092,1780,17.800,1,0
2200,3104,1790,17.900,1,0
2300,3080,1800,18.000,1,0
2400,3096,1800,18.000,1,0
2500,3104,1770,17.700,1,0
2600,3084,1810,18.100,1,0
2700,3088,1810,18.100,1,0
2800,3104,1810,18.100,1,0
2900,3084,1810,18.100,1,0
3000,3092,1800,18.000,1,0
3100,3104,1800,18.000,1,0
3200,3080,1800,18.000,1,0
3300,3096,1810,18.100,1,0
3400,3104,1790,17.900,1,0
3500,3088,1810,18.100,1,0
3600,3088,1800,18.000,1,0
3700,3104,1800,18.000,1,0
3800,3088,1810,18.100,1,0
3900,3228,860,8.600,1,0
4000,3108,1790,17.900,1,0
4100,3088,1790,17.900,1,0
4200,3100,1790,17.900,1,0
4300,3104,1800,18.000,1,0
4400,3088,1820,18.200,1,0
4500,3100,1800,18.000,1,0
4600,3100,1800,18.000,1,0
4700,3096,1820,18.200,1,0
4800,3092,1800,18.000,1,0
4900,3076,1800,18.000,1,0
5000,3100,1800,18.000,1,0
5100,3092,1810,18.100,1,0
5200,3080,1810,18.100,1,0
5300,3096,1810,18.100,1,0
5400,3096,1810,18.100,1,0
5500,3080,1770,17.700,1,0
5600,3100,1800,18.000,1,0
5700,3096,1790,17.900,1,0
5800,3080,1820,18.200,1,0
5900,3100,1790,17.900,1,0
6000,3092,1790,17.900,1,0
6100,3080,1800,18.000,1,0
6200,3100,1790,17.900,1,0
6300,3088,1810,18.100,1,0
6400,3084,1790,17.900,1,0
6500,3100,1800,18.000,1,0
6600,3084,1830,18.300,1,0
6700,3084,1820,18.200,1,0
6800,3100,1770,17.700,1,0
6900,3084,1810,18.100,1,0
7000,3092,1760,17.600,1,0
7100,3096,1770,17.700,1,0
7200,3080,1810,18.100,1,0
7300,3100,1790,17.900,1,0
7400,3096,1790,17.900,1,0
7500,3084,1790,17.900,1,0
7600,3100,1800,18.000,1,0
7700,3092,1800,18.000,1,0
7800,3084,1830,18.300,1,0
7900,3104,1790,17.900,1,0
8000,3088,1810,18.100,1,0
8100,3088,1800,18.000,1,0
8200,3100,1810,18.100,1,0
8300,3084,1770,17.700,1,0
8400,3096,1820,18.200,1,0
8500,3100,1810,18.100,1,0
8600,3084,1830,18.300,1,0
8700,3104,1800,18.000,1,0
8800,3096,1790,17.900,1,0
8900,3080,1770,17.700,1,0
9000,3108,1800,18.000,1,0
9100,3088,1770,17.700,1,0
9200,3092,1800,18.000,1,0
9300,3104,1750,17.500,1,0
9400,3084,1800,18.000,1,0
9500,3092,1820,18.200,1,0
9600,3104,1790,17.900,1,0
9700,3084,1790,17.900,1,0
9800,3092,1770,17.700,1,0
9900,3100,1810,18.100,1,0
10000,3080,1800,18.000,1,0
10100,3104,1790,17.900,1,0
10200,3088,1790,17.900,1,0
10300,3088,1830,18.300,1,0
10400,3104,1820,18.200,1,0
10500,2980,140,1.400,1,0
10600,3084,1770,17.700,1,0
10700,3104,1790,17.900,1,0
10800,3084,1800,18.000,1,0
10900,3096,1790,17.900,1,0
11000,3260,170,1.700,1,0
11100,3080,1800,18.000,1,0
11200,3108,1810,18.100,1,0
11300,3100,1810,18.100,1,0
11400,3084,1810,18.100,1,0
11500,3104,1800,18.000,1,0
11600,3088,1800,18.000,1,0
11700,3080,1780,17.800,1,0
