# ina219-sample started=2026-07-29T18:19:54+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=180.0 n_expected=1800
# note=label=post-por2 fw=4c5326a
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3212,920,9.200,1,0
100,3212,910,9.100,1,0
200,3224,910,9.100,1,0
300,3224,920,9.200,1,0
400,3220,890,8.900,1,0
500,3212,910,9.100,1,0
600,3220,930,9.300,1,0
700,3228,930,9.300,1,0
800,3224,900,9.000,1,0
900,3216,930,9.300,1,0
1000,3212,930,9.300,1,0
1100,3224,920,9.200,1,0
1200,3224,920,9.200,1,0
1300,3216,940,9.400,1,0
1400,3212,940,9.400,1,0
1500,3224,920,9.200,1,0
1600,3228,920,9.200,1,0
1700,3224,930,9.300,1,0
1800,3216,890,8.900,1,0
1900,3216,910,9.100,1,0
2000,3224,950,9.500,1,0
2100,3224,930,9.300,1,0
2200,3212,920,9.200,1,0
2300,3212,920,9.200,1,0
2400,3224,930,9.300,1,0
2500,3224,940,9.400,1,0
2600,3220,910,9.100,1,0
2700,3216,910,9.100,1,0
2800,3212,930,9.300,1,0
2900,3224,940,9.400,1,0
3000,3224,920,9.200,1,0
3100,3216,910,9.100,1,0
3200,3212,910,9.100,1,0
3300,3224,920,9.200,1,0
3400,3220,920,9.200,1,0
3500,3216,930,9.300,1,0
3600,3216,940,9.400,1,0
3700,3216,920,9.200,1,0
3800,3224,930,9.300,1,0
3900,3224,920,9.200,1,0
4000,3212,920,9.200,1,0
4100,3216,920,9.200,1,0
4200,3224,920,9.200,1,0
4300,3224,920,9.200,1,0
4400,3212,910,9.100,1,0
4500,3216,920,9.200,1,0
4600,3224,930,9.300,1,0
4700,3212,910,9.100,1,0
4800,3212,60,0.600,1,0
4900,3220,930,9.300,1,0
5000,3208,870,8.700,1,0
5100,3208,910,9.100,1,0
5200,3220,920,9.200,1,0
5300,3220,920,9.200,1,0
5400,3216,930,9.300,1,0
5500,3208,930,9.300,1,0
5600,3216,950,9.500,1,0
5700,3220,920,9.200,1,0
5800,3220,930,9.300,1,0
5900,3212,920,9.200,1,0
6000,3208,920,9.200,1,0
6100,3220,900,9.000,1,0
6200,3224,910,9.100,1,0
6300,3208,900,9.000,1,0
6400,3208,910,9.100,1,0
6500,3220,950,9.500,1,0
6600,3220,920,9.200,1,0
6700,3216,940,9.400,1,0
6800,3208,920,9.200,1,0
6900,3216,930,9.300,1,0
7000,3220,920,9.200,1,0
7100,3220,920,9.200,1,0
7200,3208,920,9.200,1,0
7300,3208,930,9.300,1,0
7400,3216,920,9.200,1,0
