# ina219-sample started=2026-07-29T18:36:34+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=180.0 n_expected=1800
# note=label=post-relay-por fw=c2e014f
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3248,880,8.800,1,0
100,3248,900,9.000,1,0
200,3248,910,9.100,1,0
300,3252,880,8.800,1,0
400,3252,910,9.100,1,0
500,3252,890,8.900,1,0
600,3252,880,8.800,1,0
700,3252,1680,16.800,1,0
800,3252,860,8.600,1,0
900,3252,920,9.200,1,0
1000,3248,900,9.000,1,0
1100,3248,900,9.000,1,0
1200,3304,740,7.400,1,0
1300,3252,930,9.300,1,0
1400,3256,900,9.000,1,0
1500,3252,880,8.800,1,0
1600,3252,900,9.000,1,0
1700,3248,920,9.200,1,0
1800,3252,930,9.300,1,0
1900,3248,870,8.700,1,0
2000,3248,910,9.100,1,0
2100,3252,900,9.000,1,0
2200,3252,910,9.100,1,0
2300,3252,870,8.700,1,0
2400,3252,920,9.200,1,0
2500,3252,900,9.000,1,0
2600,3252,860,8.600,1,0
2700,3248,900,9.000,1,0
2800,3252,880,8.800,1,0
2900,3248,880,8.800,1,0
3000,3252,900,9.000,1,0
3100,3252,890,8.900,1,0
3200,3252,900,9.000,1,0
3300,3252,880,8.800,1,0
3400,3252,900,9.000,1,0
3500,3248,880,8.800,1,0
3600,3248,880,8.800,1,0
3700,3248,910,9.100,1,0
3800,3248,930,9.300,1,0
3900,3252,900,9.000,1,0
4000,3252,900,9.000,1,0
4100,3252,900,9.000,1,0
4200,3252,870,8.700,1,0
4300,3252,870,8.700,1,0
4400,3252,870,8.700,1,0
4500,3248,900,9.000,1,0
4600,3252,910,9.100,1,0
4700,3248,900,9.000,1,0
4800,3252,890,8.900,1,0
4900,3248,900,9.000,1,0
5000,3248,900,9.000,1,0
5100,3248,920,9.200,1,0
5200,3252,890,8.900,1,0
5300,3252,910,9.100,1,0
5400,3248,880,8.800,1,0
5500,3252,880,8.800,1,0
5600,3252,900,9.000,1,0
