# ina219-sample started=2026-07-30T15:02:58+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=30.0 n_expected=300
# note=label=por-railcheck fw=b958171+dirty
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3296,160,1.600,1,0
100,3300,150,1.500,1,0
200,3292,140,1.400,1,0
300,3292,150,1.500,1,0
400,3296,160,1.600,1,0
500,3296,160,1.600,1,0
600,3296,150,1.500,1,0
700,3296,150,1.500,1,0
800,3296,140,1.400,1,0
900,3296,160,1.600,1,0
1000,3296,150,1.500,1,0
1100,3296,140,1.400,1,0
1200,3296,130,1.300,1,0
1300,3296,140,1.400,1,0
1400,3296,130,1.300,1,0
1500,3292,170,1.700,1,0
1600,3292,140,1.400,1,0
1700,3292,160,1.600,1,0
1800,3296,140,1.400,1,0
1900,3296,140,1.400,1,0
2000,3296,150,1.500,1,0
2100,3300,150,1.500,1,0
2200,3296,180,1.800,1,0
2300,3296,170,1.700,1,0
2400,3296,140,1.400,1,0
2500,3296,160,1.600,1,0
2600,3296,140,1.400,1,0
2700,3300,140,1.400,1,0
2800,3300,140,1.400,1,0
2900,3300,130,1.300,1,0
3000,3300,170,1.700,1,0
3100,3296,170,1.700,1,0
3200,3300,150,1.500,1,0
3300,3300,130,1.300,1,0
3400,3300,150,1.500,1,0
3500,3296,190,1.900,1,0
3600,3296,150,1.500,1,0
3700,3296,130,1.300,1,0
3800,3300,140,1.400,1,0
3900,3300,160,1.600,1,0
4000,3300,150,1.500,1,0
4100,3296,160,1.600,1,0
4200,3296,150,1.500,1,0
4300,3300,140,1.400,1,0
4400,3296,140,1.400,1,0
4500,3300,150,1.500,1,0
4600,3300,150,1.500,1,0
4700,3292,160,1.600,1,0
4800,3292,160,1.600,1,0
4900,3292,140,1.400,1,0
5000,3296,140,1.400,1,0
5100,3296,130,1.300,1,0
5200,3296,150,1.500,1,0
5300,3292,160,1.600,1,0
5400,3292,140,1.400,1,0
5500,3292,120,1.200,1,0
5600,3296,150,1.500,1,0
5700,3292,240,2.400,1,0
5800,3296,150,1.500,1,0
5900,3296,140,1.400,1,0
6000,3296,140,1.400,1,0
6100,3296,140,1.400,1,0
6200,3292,130,1.300,1,0
6300,3296,160,1.600,1,0
6400,3296,170,1.700,1,0
6500,3296,130,1.300,1,0
6600,3296,140,1.400,1,0
6700,3296,150,1.500,1,0
6800,3296,170,1.700,1,0
6900,3296,130,1.300,1,0
7000,3296,140,1.400,1,0
7100,3296,150,1.500,1,0
7200,3296,150,1.500,1,0
7300,3296,150,1.500,1,0
7400,3296,150,1.500,1,0
7500,3296,120,1.200,1,0
7600,3296,140,1.400,1,0
7700,2920,-40,-0.400,1,0
7800,2920,-30,-0.300,1,0
7900,2920,-20,-0.200,1,0
8000,2920,-30,-0.300,1,0
8100,2924,-30,-0.300,1,0
8200,2924,-30,-0.300,1,0
8300,2928,-20,-0.200,1,0
8400,2924,-40,-0.400,1,0
8500,2924,-60,-0.600,1,0
8600,2924,-20,-0.200,1,0
8700,2928,10,0.100,1,0
8800,2928,-40,-0.400,1,0
8900,2928,-50,-0.500,1,0
9000,2932,-40,-0.400,1,0
9100,2932,-40,-0.400,1,0
9200,2928,-30,-0.300,1,0
9300,2928,-30,-0.300,1,0
9400,2932,-20,-0.200,1,0
9500,2932,-50,-0.500,1,0
9600,2932,-30,-0.300,1,0
9700,2932,-20,-0.200,1,0
9800,2932,-40,-0.400,1,0
9900,2936,-30,-0.300,1,0
10000,2932,-40,-0.400,1,0
10100,2932,-20,-0.200,1,0
10200,2932,-10,-0.100,1,0
10300,2928,-40,-0.400,1,0
10400,2932,-40,-0.400,1,0
10500,2932,-10,-0.100,1,0
10600,2936,-30,-0.300,1,0
10700,3308,70,0.700,1,0
10800,3304,50,0.500,1,0
10900,3308,40,0.400,1,0
11000,3288,270,2.700,1,0
11100,3288,300,3.000,1,0
11200,3288,330,3.300,1,0
11300,3288,300,3.000,1,0
11400,3284,380,3.800,1,0
11500,3308,-10,-0.100,1,0
11600,3252,900,9.000,1,0
11700,3252,880,8.800,1,0
11800,3256,900,9.000,1,0
11900,3252,880,8.800,1,0
12000,3256,880,8.800,1,0
12100,3256,900,9.000,1,0
12200,3248,870,8.700,1,0
12300,3248,890,8.900,1,0
12400,3252,880,8.800,1,0
12500,3248,900,9.000,1,0
12600,3248,870,8.700,1,0
12700,3252,900,9.000,1,0
12800,3252,870,8.700,1,0
12900,3252,920,9.200,1,0
13000,3256,900,9.000,1,0
13100,3252,890,8.900,1,0
13200,3256,920,9.200,1,0
13300,3252,900,9.000,1,0
13400,3252,870,8.700,1,0
13500,3256,910,9.100,1,0
13600,3252,900,9.000,1,0
13700,3252,900,9.000,1,0
13800,3248,880,8.800,1,0
13900,3252,890,8.900,1,0
14000,3248,920,9.200,1,0
14100,3252,920,9.200,1,0
14200,3252,900,9.000,1,0
14300,3256,910,9.100,1,0
14400,3252,900,9.000,1,0
14500,3252,920,9.200,1,0
14600,3256,880,8.800,1,0
14700,3252,920,9.200,1,0
14800,3252,890,8.900,1,0
14900,3248,910,9.100,1,0
15000,3248,890,8.900,1,0
15100,3248,900,9.000,1,0
15200,3248,880,8.800,1,0
15300,3252,910,9.100,1,0
15400,3252,900,9.000,1,0
15500,3252,870,8.700,1,0
15600,3252,910,9.100,1,0
15700,3256,900,9.000,1,0
15800,3252,870,8.700,1,0
15900,3248,920,9.200,1,0
16000,3252,910,9.100,1,0
16100,3248,900,9.000,1,0
16200,3252,900,9.000,1,0
16300,3252,910,9.100,1,0
16400,3252,910,9.100,1,0
16500,3252,900,9.000,1,0
16600,3252,910,9.100,1,0
16700,3252,900,9.000,1,0
16800,3252,930,9.300,1,0
16900,3252,890,8.900,1,0
17000,3252,910,9.100,1,0
17100,3252,900,9.000,1,0
17200,3252,910,9.100,1,0
17300,3248,890,8.900,1,0
17400,3252,910,9.100,1,0
17500,3252,910,9.100,1,0
17600,3252,890,8.900,1,0
17700,3252,900,9.000,1,0
17800,3252,880,8.800,1,0
17900,3256,920,9.200,1,0
18000,3252,870,8.700,1,0
18100,3252,880,8.800,1,0
18200,3252,870,8.700,1,0
18300,3252,900,9.000,1,0
18400,3252,900,9.000,1,0
18500,3252,900,9.000,1,0
18600,3248,910,9.100,1,0
18700,3252,880,8.800,1,0
18800,3252,890,8.900,1,0
18900,3252,880,8.800,1,0
19000,3256,890,8.900,1,0
19100,3308,30,0.300,1,0
19200,3252,910,9.100,1,0
19300,3252,880,8.800,1,0
19400,3252,860,8.600,1,0
19500,3252,890,8.900,1,0
19600,3256,890,8.900,1,0
19700,3304,0,0.000,1,0
19800,3308,-30,-0.300,1,0
19900,3308,-30,-0.300,1,0
20000,3312,-20,-0.200,1,0
20100,3308,-30,-0.300,1,0
20200,3308,-10,-0.100,1,0
20300,3312,-10,-0.100,1,0
20400,3304,10,0.100,1,0
20500,3300,70,0.700,1,0
20600,3308,0,0.000,1,0
20700,3308,10,0.100,1,0
20800,3296,30,0.300,1,0
20900,3312,-10,-0.100,1,0
21000,3308,-10,-0.100,1,0
21100,3312,30,0.300,1,0
21200,3308,-20,-0.200,1,0
21300,3308,-20,-0.200,1,0
21400,3312,30,0.300,1,0
21500,3312,-30,-0.300,1,0
21600,3312,-40,-0.400,1,0
21700,3308,10,0.100,1,0
21800,3308,-30,-0.300,1,0
21900,3308,10,0.100,1,0
22000,3312,-20,-0.200,1,0
22100,3312,-20,-0.200,1,0
22200,3312,-20,-0.200,1,0
22300,3304,0,0.000,1,0
22400,3312,-30,-0.300,1,0
22500,3312,-20,-0.200,1,0
22600,3308,-10,-0.100,1,0
22700,3308,-30,-0.300,1,0
22800,3308,10,0.100,1,0
22900,3308,40,0.400,1,0
23000,3308,0,0.000,1,0
23100,3308,-10,-0.100,1,0
23200,3304,10,0.100,1,0
23300,3312,-30,-0.300,1,0
23400,3308,-20,-0.200,1,0
23500,3308,20,0.200,1,0
23600,3308,0,0.000,1,0
23700,3312,-10,-0.100,1,0
23800,3312,-10,-0.100,1,0
23900,3256,60,0.600,1,0
24000,3308,20,0.200,1,0
24100,3308,-20,-0.200,1,0
24200,3312,-20,-0.200,1,0
24300,3308,-20,-0.200,1,0
24400,3312,-10,-0.100,1,0
24500,3308,-10,-0.100,1,0
24600,3308,-30,-0.300,1,0
24700,3304,10,0.100,1,0
24800,3312,-30,-0.300,1,0
24900,3308,-10,-0.100,1,0
25000,3312,-20,-0.200,1,0
25100,3304,20,0.200,1,0
25200,3308,-30,-0.300,1,0
25300,3308,-20,-0.200,1,0
25400,3308,10,0.100,1,0
25500,3304,10,0.100,1,0
25600,3308,10,0.100,1,0
25700,3308,-10,-0.100,1,0
25800,3308,-10,-0.100,1,0
25900,3308,10,0.100,1,0
26000,3308,-30,-0.300,1,0
26100,3312,-10,-0.100,1,0
26200,3308,0,0.000,1,0
26300,3308,-20,-0.200,1,0
26400,3312,-20,-0.200,1,0
26500,3308,-40,-0.400,1,0
26600,3312,-40,-0.400,1,0
26700,3308,20,0.200,1,0
26800,3308,10,0.100,1,0
26900,3308,-30,-0.300,1,0
27000,3304,10,0.100,1,0
27100,3312,10,0.100,1,0
27200,3312,-20,-0.200,1,0
27300,3308,-20,-0.200,1,0
27400,3308,-20,-0.200,1,0
27500,3304,0,0.000,1,0
27600,3308,-10,-0.100,1,0
27700,3308,10,0.100,1,0
27800,3308,-10,-0.100,1,0
27900,3312,-10,-0.100,1,0
28000,3308,-10,-0.100,1,0
28100,3308,-60,-0.600,1,0
28200,3308,-30,-0.300,1,0
28300,3308,-30,-0.300,1,0
28400,3308,-10,-0.100,1,0
28500,3308,-20,-0.200,1,0
28600,3308,10,0.100,1,0
28700,3308,10,0.100,1,0
28800,3312,0,0.000,1,0
28900,3312,-10,-0.100,1,0
29000,3308,-20,-0.200,1,0
29100,3312,20,0.200,1,0
29200,3312,-30,-0.300,1,0
29300,3312,-10,-0.100,1,0
29400,3312,-10,-0.100,1,0
