# ina219-sample started=2026-07-30T15:08:13+1000
# bus=1 addr=0x40 shunt_ohms=0.1
# config=0x399F por_default=0x399F
# hz=10.0 duration_s=360.0 n_expected=3600
# note=label=clean-idle-360 fw=b958171+dirty
timestamp_ms,bus_mV,shunt_uV,current_mA,ready,overflow
0,3312,10,0.100,1,0
100,3312,-10,-0.100,1,0
200,3312,-10,-0.100,1,0
300,3308,0,0.000,1,0
400,3312,-10,-0.100,1,0
500,3308,-10,-0.100,1,0
600,3312,-10,-0.100,1,0
700,3312,10,0.100,1,0
800,3312,-30,-0.300,1,0
900,3308,-20,-0.200,1,0
1000,3308,-10,-0.100,1,0
1100,3308,-10,-0.100,1,0
1200,3308,-20,-0.200,1,0
1300,3308,0,0.000,1,0
1400,3308,-10,-0.100,1,0
1500,3312,-10,-0.100,1,0
1600,3308,-20,-0.200,1,0
1700,3308,30,0.300,1,0
1800,3304,10,0.100,1,0
1900,3308,-20,-0.200,1,0
2000,3312,-10,-0.100,1,0
2100,3308,-20,-0.200,1,0
2200,3308,-20,-0.200,1,0
2300,3304,-30,-0.300,1,0
2400,3308,10,0.100,1,0
2500,3308,-10,-0.100,1,0
2600,3308,10,0.100,1,0
2700,3308,10,0.100,1,0
2800,3308,-10,-0.100,1,0
2900,3308,-20,-0.200,1,0
3000,3308,-10,-0.100,1,0
3100,3312,-40,-0.400,1,0
3200,3308,-10,-0.100,1,0
3300,3308,-30,-0.300,1,0
3400,3312,0,0.000,1,0
3500,3308,-10,-0.100,1,0
3600,3312,-10,-0.100,1,0
3700,3308,-20,-0.200,1,0
3800,3308,-10,-0.100,1,0
3900,3308,10,0.100,1,0
4000,3312,-10,-0.100,1,0
4100,3312,-20,-0.200,1,0
4200,3312,-10,-0.100,1,0
4300,3308,-10,-0.100,1,0
4400,3308,10,0.100,1,0
4500,3308,0,0.000,1,0
4600,3308,-20,-0.200,1,0
4700,3308,-10,-0.100,1,0
4800,3308,-10,-0.100,1,0
4900,3308,-10,-0.100,1,0
5000,3308,-20,-0.200,1,0
5100,3308,20,0.200,1,0
5200,3308,-20,-0.200,1,0
5300,3308,-20,-0.200,1,0
5400,3308,-10,-0.100,1,0
5500,3312,-10,-0.100,1,0
5600,3312,-10,-0.100,1,0
5700,3304,0,0.000,1,0
5800,3312,-10,-0.100,1,0
5900,3308,-20,-0.200,1,0
6000,3308,0,0.000,1,0
6100,3304,20,0.200,1,0
6200,3312,-10,-0.100,1,0
6300,3308,-30,-0.300,1,0
6400,3308,-10,-0.100,1,0
6500,3308,-40,-0.400,1,0
6600,3312,-40,-0.400,1,0
6700,3308,-30,-0.300,1,0
6800,3308,-10,-0.100,1,0
6900,3308,-10,-0.100,1,0
7000,3308,20,0.200,1,0
7100,3308,10,0.100,1,0
7200,3308,10,0.100,1,0
7300,3308,-20,-0.200,1,0
7400,3308,-30,-0.300,1,0
7500,3308,-20,-0.200,1,0
7600,3308,-20,-0.200,1,0
7700,3312,-10,-0.100,1,0
7800,3308,-20,-0.200,1,0
7900,3312,0,0.000,1,0
8000,3312,-20,-0.200,1,0
8100,3308,-20,-0.200,1,0
8200,3312,-30,-0.300,1,0
8300,3308,-10,-0.100,1,0
8400,3308,-40,-0.400,1,0
8500,3308,10,0.100,1,0
8600,3308,10,0.100,1,0
8700,3308,-10,-0.100,1,0
8800,3308,-20,-0.200,1,0
8900,3304,0,0.000,1,0
9000,3308,-10,-0.100,1,0
9100,3308,-10,-0.100,1,0
9200,3304,0,0.000,1,0
9300,3308,-10,-0.100,1,0
9400,3300,10,0.100,1,0
9500,3312,-10,-0.100,1,0
9600,3308,-30,-0.300,1,0
9700,3312,-20,-0.200,1,0
9800,3312,-30,-0.300,1,0
9900,3308,-10,-0.100,1,0
10000,3312,-10,-0.100,1,0
10100,3312,0,0.000,1,0
10200,3308,-10,-0.100,1,0
10300,3308,-20,-0.200,1,0
10400,3308,-10,-0.100,1,0
10500,3308,10,0.100,1,0
10600,3308,-20,-0.200,1,0
10700,3312,10,0.100,1,0
10800,3312,20,0.200,1,0
10900,3312,10,0.100,1,0
